ticker,strategy,basket,period_months,price_then,price_now,actual_return,upside,growth,accel,valuation,long_term,cash_runway,conviction,entry,momentum,profitability,fragility,downside
BWXT,hold_forever,Industrial,36,68.06,188.96,177.65,0.0,50.0,50.0,50.0,100.0,50.0,82.5,0.0,100.0,0.0,0.0,0.0
POWL,cycle,Industrial,36,19.92,283.51,1323.1,100.0,50.0,50.0,50.0,100.0,50.0,40.0,4.9,100.0,0.0,-5.0,-5.0
VRT,cycle,Industrial,36,23.72,289.52,1120.63,0.0,50.0,50.0,50.0,100.0,50.0,100.0,0.0,100.0,0.0,-5.0,-5.0
FIX,hold_forever,Industrial,36,160.33,1831.56,1042.35,0.0,50.0,50.0,50.0,100.0,50.0,44.0,2.8,100.0,0.0,0.0,0.0
RKLB,cycle,SpecGrowth,36,5.5,108.23,1867.82,100.0,50.0,50.0,50.0,50.0,50.0,100.0,45.2,100.0,0.0,-10.0,-5.0
LSCC,cycle,SpecGrowth,36,90.99,137.56,51.18,8.8,50.0,50.0,50.0,100.0,50.0,100.0,9.0,100.0,0.0,-5.0,-5.0
CRDO,cycle,SpecGrowth,36,17.86,234.32,1211.98,0.0,90.2,50.0,54.2,50.0,50.0,100.0,12.5,60.0,0.0,-5.0,-5.0
VKTX,catalyst,SpecGrowth,36,14.84,29.23,97.03,100.0,50.0,50.0,50.0,50.0,50.0,100.0,44.8,80.0,0.0,-10.0,-12.0
KTOS,cycle,Defense,36,14.37,56.19,291.02,99.2,50.0,50.0,50.0,50.0,50.0,82.5,23.6,100.0,0.0,-5.0,-5.0
ENVX,catalyst,SpecGrowth,36,16.43,6.75,-58.92,64.8,50.0,50.0,50.0,50.0,50.0,100.0,47.9,100.0,0.0,-10.0,-8.0
APLD,cycle,Industrial,36,7.38,41.91,468.27,30.5,83.2,50.0,23.3,50.0,50.0,100.0,26.3,100.0,0.0,-5.0,-5.0
TMDX,hold_forever,MedTech,36,81.6,74.29,-8.96,0.0,50.0,50.0,50.0,100.0,50.0,82.5,12.4,100.0,0.0,0.0,0.0
IREN,cycle,Industrial,36,4.48,54.02,1105.8,100.0,47.5,50.0,47.6,50.0,50.0,100.0,33.7,100.0,0.0,-5.0,-5.0
AXON,hold_forever,Defense,36,195.38,452.51,131.61,42.1,50.0,50.0,50.0,100.0,50.0,100.0,23.6,80.0,0.0,0.0,0.0
CIFR,cycle,Industrial,36,2.9,23.03,694.31,6.9,50.0,50.0,50.0,50.0,50.0,100.0,5.7,100.0,0.0,-5.0,-5.0
LUNR,catalyst,SpecGrowth,36,8.65,27.47,217.57,100.0,50.0,50.0,50.0,50.0,50.0,60.0,97.5,40.0,0.0,-10.0,-8.0
ACHR,catalyst,SpecGrowth,36,3.39,5.32,56.93,100.0,50.0,50.0,50.0,50.0,50.0,100.0,45.2,100.0,0.0,-10.0,-12.0
VST,cycle,Nuclear,36,25.06,146.22,483.47,43.4,50.0,50.0,50.0,100.0,50.0,100.0,5.3,100.0,0.0,-5.0,-5.0
CEG,hold_forever,Nuclear,36,89.02,251.65,182.7,20.2,50.0,50.0,50.0,50.0,50.0,100.0,13.1,60.0,0.0,0.0,0.0
TLN,cycle,Nuclear,36,47.5,358.74,655.24,50.0,71.8,50.0,100.0,50.0,50.0,24.0,0.0,50.0,0.0,-5.0,-5.0
DNN,cycle,Nuclear,36,1.2,2.95,145.83,50.0,50.0,50.0,50.0,50.0,50.0,85.0,53.6,60.0,0.0,-5.0,-5.0
UEC,cycle,Nuclear,36,3.39,10.65,214.16,100.0,89.5,50.0,69.6,50.0,50.0,100.0,52.6,40.0,0.0,-5.0,-5.0
QUBT,catalyst,Quantum,36,1.28,9.51,642.58,50.0,50.0,50.0,50.0,5.0,50.0,24.0,93.2,10.0,0.0,-10.0,-8.0
ARQQ,catalyst,Quantum,36,30.5,12.49,-59.05,0.0,50.0,50.0,50.0,50.0,50.0,63.8,94.8,40.0,0.0,-10.0,-8.0
APP,cycle,SpecGrowth,36,26.04,520.84,1900.15,0.0,50.0,50.0,50.0,50.0,50.0,100.0,46.3,100.0,0.0,0.0,0.0
SMCI,cycle,Industrial,36,22.62,40.64,79.69,100.0,74.2,50.0,100.0,100.0,50.0,82.5,15.9,100.0,0.0,-5.0,-5.0
